PointOfInterest, Latitude,Longitude
airport,34.30806,-114.18639
airport,34.5275,-114.43083
airport,33.86944,-114.52667
airport,34.18389,-114.57528
airport,34.81944,-114.60194
airport,33.60361,-114.60444
airport,33.59194,-114.60528
airport,34.76611,-114.62306
airport,33.67917,-114.64333
airport,33.60389,-114.645
airport,34.91111,-114.64722
airport,33.61889,-114.71667
airport,34.835,-114.95694
airport,34.13417,-115.11889
airport,35.28306,-115.19222
airport,35.09694,-115.22
airport,32.84028,-115.26722
airport,33.74861,-115.32278
airport,34.55472,-115.35583
airport,33.80139,-115.45056
airport,32.66944,-115.51306
airport,32.99306,-115.51667
airport,33.12972,-115.52167
airport,32.78889,-115.52944
airport,32.9625,-115.54222
airport,32.95833,-115.55472
airport,32.67333,-115.55889
airport,32.83417,-115.57861
airport,33.69889,-115.63667
airport,33.66528,-115.71028
airport,34.88167,-115.73306
airport,33.48111,-115.87389
airport,33.265,-115.92389
airport,34.13194,-115.94556
airport,33.24139,-115.9525
airport,33.28361,-115.98917
airport,34.16,-115.9975
airport,34.20611,-115.99778
airport,34.16278,-116.04806
airport,34.12833,-116.08194
airport,35.28528,-116.0825
airport,35.3375,-116.09167
airport,35.14917,-116.10306
airport,33.15,-116.13278
airport,34.75306,-116.15417
airport,33.62778,-116.15972
airport,32.61667,-116.16472
airport,33.70694,-116.23528
airport,34.15417,-116.25222
airport,35.96833,-116.26944
airport,33.74833,-116.27472
airport,34.13472,-116.275
airport,33.19167,-116.27583
airport,34.13167,-116.27639
airport,32.95,-116.29333
airport,33.25972,-116.32306
airport,33.235,-116.35667
airport,34.27028,-116.39111
airport,33.68611,-116.39583
airport,33.76583,-116.40556
airport,34.12778,-116.40778
airport,32.97083,-116.40917
airport,34.12611,-116.41333
airport,36.29556,-116.42583
airport,33.08167,-116.44139
airport,33.25583,-116.45444
airport,33.82806,-116.50611
airport,33.93972,-116.57472
airport,34.33722,-116.57972
airport,34.42028,-116.61056
airport,34.42333,-116.61694
airport,34.41444,-116.6225
airport,35.28222,-116.63
airport,32.63806,-116.63917
airport,33.28444,-116.67472
airport,34.96139,-116.67528
airport,32.765,-116.7225
airport,33.14306,-116.74528
airport,33.07028,-116.75194
airport,34.85361,-116.78667
airport,33.17917,-116.7925
airport,33.52083,-116.79667
airport,33.42778,-116.8425
airport,33.92306,-116.85056
airport,34.26361,-116.85444
airport,36.46361,-116.88139
airport,33.59722,-116.88278
airport,35.35556,-116.88333
airport,35.35028,-116.88833
airport,32.63306,-116.89306
airport,33.03917,-116.9125
airport,32.81111,-116.92111
airport,32.75556,-116.92222
airport,33.75,-116.95917
airport,32.82611,-116.97222
airport,33.54444,-116.97667
airport,32.57222,-116.98
airport,33.32444,-116.99028
airport,34.875,-116.99667
